postcode,state,latitude,longitude,localities
0200,ACT,-35.27770,149.11895,2
0800,NT,-12.45868,130.83668,2
0801,NT,-12.45868,130.83668,1
0803,NT,-12.43399,130.74591,1
0804,NT,-12.42802,130.87331,1
0810,NT,-12.37980,130.86849,16
0811,NT,-12.38181,130.86624,1
0812,NT,-12.39642,130.91519,11
0813,NT,-12.40478,130.91610,2
0814,NT,-12.38181,130.86624,1
0815,NT,-12.37180,130.86900,1
0820,NT,-12.42711,130.87334,20
0821,NT,-13.64328,136.94705,1
0822,NT,-11.76997,130.62946,111
0828,NT,-12.43202,130.93207,2
0829,NT,-12.45763,130.95977,2
0830,NT,-12.47928,130.97335,11
0831,NT,-12.47507,130.97488,1
0832,NT,-12.50343,130.97746,8
0834,NT,-12.54686,131.02349,1
0835,NT,-12.47608,131.02299,3
0836,NT,-12.55604,131.10804,3
0837,NT,-12.67332,131.05535,2
0838,NT,-12.71878,131.00673,1
0839,NT,-12.52001,131.04020,1
0840,NT,-12.73458,130.43857,3
0841,NT,-12.81923,130.96986,1
0845,NT,-13.04512,131.03848,1
0846,NT,-13.21030,131.09500,1
0847,NT,-14.01212,131.75915,1
0850,NT,-14.40915,132.28591,6
0851,NT,-15.71142,137.05072,1
0852,NT,-16.43110,130.89873,57
0853,NT,-14.54463,132.39812,2
0854,NT,-16.28728,136.36665,2
0860,NT,-19.64130,134.17360,1
0861,NT,-18.56305,134.48183,2
0862,NT,-18.17968,134.86259,17
0870,NT,-23.70222,133.86486,11
0871,NT,-21.94951,131.29881,1
0872,NT,-23.05255,131.06949,109
0873,NT,-23.74471,133.90501,7
0874,NT,-23.68502,133.89988,3
0875,NT,-23.69689,133.83330,2
0880,NT,-12.06062,136.60613,5
0881,NT,-11.67037,136.82486,1
0885,NT,-13.85079,136.42007,1
0886,NT,-13.13118,132.56337,1
0906,NT,-13.64328,136.94705,1
0907,NT,-13.64328,136.94705,1
0909,NT,-12.37180,130.86900,2
1001,NSW,-33.79488,151.26807,1
1002,NSW,-33.79488,151.26807,1
1003,NSW,-33.79488,151.26807,1
1004,NSW,-33.79488,151.26807,1
1005,NSW,-33.79488,151.26807,1
1006,NSW,-33.79488,151.26807,1
1007,NSW,-33.79488,151.26807,1
1008,NSW,-33.79488,151.26807,1
1009,NSW,-33.79488,151.26807,1
1010,NSW,-33.79488,151.26807,1
1020,NSW,-33.79488,151.26807,1
1021,NSW,-33.79488,151.26807,1
1022,NSW,-33.79488,151.26807,1
1023,NSW,-33.79488,151.26807,1
1025,NSW,-33.79488,151.26807,1
1026,NSW,-33.79488,151.26807,1
1027,NSW,-33.79488,151.26807,1
1028,NSW,-33.79488,151.26807,1
1029,NSW,-33.79488,151.26807,1
1030,NSW,-33.79488,151.26807,1
1031,NSW,-33.79488,151.26807,1
1032,NSW,-33.66283,150.87418,1
1033,NSW,-33.79488,151.26807,1
1034,NSW,-33.79488,151.26807,1
1035,NSW,-33.79488,151.26807,1
1036,NSW,-33.79488,151.26807,1
1037,NSW,-33.79488,151.26807,1
1038,NSW,-33.79488,151.26807,1
1039,NSW,-33.79488,151.26807,1
1040,NSW,-33.79488,151.26807,1
1041,NSW,-33.79488,151.26807,1
1042,NSW,-33.79488,151.26807,1
1043,NSW,-33.79488,151.26807,1
1044,NSW,-33.79488,151.26807,1
1045,NSW,-33.79488,151.26807,1
1046,NSW,-33.79488,151.26807,1
1100,NSW,-33.79488,151.26807,1
1101,NSW,-33.79488,151.26807,1
1105,NSW,-33.79488,151.26807,1
1106,NSW,-33.79488,151.26807,1
1107,NSW,-33.79488,151.26807,1
1108,NSW,-33.79488,151.26807,1
1109,NSW,-33.79488,151.26807,1
1110,NSW,-33.79488,151.26807,1
1112,NSW,-33.79488,151.26807,1
1113,NSW,-33.79488,151.26807,1
1114,NSW,-33.79488,151.26807,1
